2;"
  # Selecting the 8 most important columns
  df = df[['State', 'Account length', 'International plan', 'Voice mail plan',
          'Number vmail messages', 'Total day minutes', 'Total eve minutes',
          'Customer service calls']]
  
  # Processing each column as needed
  
  # One-hot encoding for categorical columns like 'State', 'International plan', and 'Voice mail plan'
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  # Dropping NA values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3290754504021445}
3;"
  df = df[['State', 'International plan', 'Voice mail plan', 'Number vmail messages', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes']]
  
  # One-hot encoding for categorical features
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  # Dropping NA values
  df.dropna(inplace=True)
  
  return df
";{0: 0.29081359816653934}
6;"
  df = df[['State', 'Account length', 'International plan', 'Voice mail plan',
          'Number vmail messages', 'Total day minutes', 'Total eve minutes',
          'Customer service calls']]
  
  # One-hot encoding for categorical columns like 'State', 'International plan', and 'Voice mail plan'
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  # Dropping NA values
  df.dropna(inplace=True)
  
  return df
";{0: 0.32467905400574804}
7;"
  df = df[['State', 'International plan', 'Voice mail plan', 'Number vmail messages', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes']]
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  df.dropna(inplace=True)
  
  return df
";{0: 0.29409090909090907}
9;"
  df = df[['State', 'Account length', 'International plan', 'Voice mail plan', 'Number vmail messages', 
           'Total day minutes', 'Total eve minutes', 'Total night minutes']]
  
  # Handling missing values
  df.dropna(axis=0, how='any', inplace=True)
  
  # One-hot encoding categorical variables
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'], drop_first=True)
  
  return df
";{0: 0.264487799175221}
10;"
  # Selecting the 8 most important columns
  df = df[['Account length', 'Total day minutes', 'Total eve minutes', 'Customer service calls',
           'International plan', 'Voice mail plan', 'Number vmail messages', 'State']]
  
  # One-hot encoding for categorical columns like 'State', 'International plan', and 'Voice mail plan'
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  # Dropping NA values
  df.dropna(inplace=True)
  
  return df
";{0: 0.3190736118288773}
11;"
  # Selecting the 8 most important columns
  df = df[['State', 'Account length', 'International plan', 'Voice mail plan', 'Number vmail messages',
           'Total day minutes', 'Total eve minutes', 'Total night minutes']]
  
  # Handling missing values
  df.dropna(axis=0, how='any', inplace=True)
  
  # One-hot encoding categorical variables
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'], drop_first=True)
  
  return df
";{0: 0.2530260842464239}
12;"
  df = df[['State', 'Account length', 'International plan', 'Voice mail plan',
          'Number vmail messages', 'Total day minutes', 'Total eve minutes',
          'Customer service calls']]
  
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  df.dropna(inplace=True)
  
  return df
";{0: 0.3248359167508461}
14;"
  df = df[['State', 'International plan', 'Voice mail plan', 'Number vmail messages', 'Total day minutes', 'Total eve minutes', 'Total night minutes', 'Total intl minutes']]
  
  # One-hot encoding for categorical features
  df = pd.get_dummies(df, columns=['State', 'International plan', 'Voice mail plan'])
  
  # Dropping NA values
  df.dropna(inplace=True)
  
  return df
";{0: 0.29339826839826844}
16;"
  return df[['Account length', 'Number vmail messages', 'Total day minutes', 'Total eve minutes']]
";{0: 0.21827214440551512}
